timestamp,price,short_ma,long_ma,signal,portfolio_value,daily_return
2025-11-20 23:04:00,91073.69,nan,nan,HOLD,1000000.00,nan
2025-11-20 23:05:00,90955.56,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:06:00,91119.26,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:07:00,90902.13,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:08:00,90859.69,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:09:00,90669.54,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:10:00,90526.21,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:11:00,90742.75,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:12:00,90776.53,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:13:00,90835.75,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:14:00,90716.01,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:15:00,90809.58,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:16:00,90770.91,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:17:00,90868.61,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:18:00,91190.00,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:19:00,91305.22,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:20:00,91186.43,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:21:00,91371.49,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:22:00,91311.92,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:23:00,91345.81,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:24:00,91325.19,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:25:00,91350.01,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:26:00,91340.02,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:27:00,91451.46,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:28:00,91400.03,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:29:00,91373.48,nan,nan,HOLD,1000000.00,0.00
2025-11-20 23:30:00,91518.84,nan,nan,HOLD,1000000.00,0.00
